
1|select id, name from student where tot_cred>30	:	select id, name from student:	 state='Killed'
1|select id, name from student where tot_cred>30	:	select id, name from student where tot_cred<30:	 state='Killed'
1|select id, name from student where tot_cred>30	:	select id, name from student where tot_cred=30:	 state='Killed'
1|select id, name from student where tot_cred>30	:	select dept_name, name from student where tot_cred>30:	 state='NotKilled'
1|select id, name from student where tot_cred>30	:	select dept_name, tot_cred from student where tot_cred>30:	 state='Killed'

2|select dept_name,budget from department where budget>40000 and budget<80000	:	select dept_name,budget from department where budget=20000:	 state='Killed'
2|select dept_name,budget from department where budget>40000 and budget<80000	:	select dept_name,budget from department where budget>80000:	 state='Killed'
2|select dept_name,budget from department where budget>40000 and budget<80000	:	select dept_name,budget from department where budget<40000:	 state='Killed'
2|select dept_name,budget from department where budget>40000 and budget<80000	:	select dept_name,budget from department where budget=80000:	 state='Killed'
2|select dept_name,budget from department where budget>40000 and budget<80000	:	select dept_name,budget from department where budget>40000 and budget=80000:	 state='Killed'
2|select dept_name,budget from department where budget>40000 and budget<80000	:	select dept_name,budget from department where budget=40000 and budget<80000:	 state='Killed'
2|select dept_name,budget from department where budget>40000 and budget<80000	:	select dept_name,budget from department where budget>40000:	 state='Killed'
2|select dept_name,budget from department where budget>40000 and budget<80000	:	select dept_name,budget from department where budget<80000:	 state='Killed'
2|select dept_name,budget from department where budget>40000 and budget<80000	:	select budget from department where budget>40000 and budget<80000:	 state='Killed'
2|select dept_name,budget from department where budget>40000 and budget<80000	:	select dept_name from department where budget>40000 and budget<80000:	 state='Killed'

3|select building from classroom where capacity > 10 or capacity < 5	:	select building from classroom where capacity < 10 or capacity > 5:	 state='Killed'
3|select building from classroom where capacity > 10 or capacity < 5	:	select building from classroom where capacity > 10 :	 state='Killed'
3|select building from classroom where capacity > 10 or capacity < 5	:	select building from classroom where  capacity < 5:	 state='Killed'
3|select building from classroom where capacity > 10 or capacity < 5	:	select building FROM classroom  where ((capacity>10) AND (capacity<5)):	 state='Killed'
3|select building from classroom where capacity > 10 or capacity < 5	:	select building FROM classroom  where ((capacity=10) AND (capacity<5)):	 state='Killed'
3|select building from classroom where capacity > 10 or capacity < 5	:	select building FROM classroom  where ((capacity<10) AND (capacity<5)):	 state='Killed'
3|select building from classroom where capacity > 10 or capacity < 5	:	select building FROM classroom  where ((capacity>10) AND (capacity=5)):	 state='Killed'
3|select building from classroom where capacity > 10 or capacity < 5	:	select building FROM classroom  where ((capacity>10) AND (capacity>5)):	 state='Killed'

